time_min,blink_rate,redness,pupil_diameter,health_score,strain_level
0.009300041198730468,0,0.0,0.011953366540541917,50,Insufficient Data
0.09306625922520956,1,0.0,0.015845001710828456,50,Insufficient Data
0.17664109071095785,1,0.0,0.036985987200399105,50,Insufficient Data
0.2603862722714742,2,0.0,0.011769085326335227,50,Insufficient Data
0.3438979109128316,8,0.0,0.013796795778159936,50,Insufficient Data
0.4276468555132548,12,0.0,0.012458890706475321,50,Insufficient Data
0.5453021407127381,16,0.0,0.010631591788003878,50,Insufficient Data
0.6291436394055684,18,0.0,0.014946988341084988,50,Insufficient Data
0.7127219518025716,19,0.0,0.011950776749517554,50,Insufficient Data
0.7962746024131775,21,0.0,0.01578443198126495,50,Insufficient Data
0.880073606967926,21,0.0,0.013636543064844388,50,Insufficient Data
0.9636249502499898,25,0.0,0.013768372919520228,50,Insufficient Data
1.0472902297973632,31,0.0,0.014446454650318784,90,Moderate
1.1309375007947287,34,0.0,0.016257805334604702,90,Moderate
1.2145010113716126,36,0.0,0.01932154919765125,90,Moderate
1.2980765144030253,33,0.0,0.023212650396772377,90,Moderate
1.3817239165306092,29,0.0,0.013015772185597416,90,Moderate
1.4656636794408162,25,0.0,0.028283564828609963,90,Moderate
1.5491738756497702,26,0.0,0.013243955345277048,100,Low
1.6330366174379984,25,0.0,0.013838986398470681,100,Low
1.7165204246838888,26,0.0,0.013501106895429948,100,Low
1.8003710865974427,28,0.0,0.013186008120805854,100,Low
1.8836873412132262,30,0.0,0.01242808478101627,100,Low
1.9670552412668865,33,0.0,0.013317526244408512,100,Low
2.0506884256998696,30,0.0,0.01346436947260485,100,Low
2.1343485355377196,28,0.0,0.012696337074853282,100,Low
2.2178828438123066,28,0.0,0.012741971257696208,100,Low
2.3015244523684184,28,0.0,0.012633396418685224,100,Low
2.3851831833521526,29,0.0,0.012645650359982883,100,Low
2.468775761127472,36,0.0,0.013187249809573656,100,Low
2.5523481210072836,36,0.0,0.014256823855857937,100,Low
2.635657425721486,38,0.0,0.013056387045259047,100,Low
2.7190967122713725,40,0.0,0.013852334503665568,100,Low
2.8027323206265766,38,0.0,0.013344917539211056,100,Low
2.886363903681437,38,0.0,0.012721417840211087,100,Low
2.9697196245193482,38,0.0,0.013386785621815682,100,Low
3.053536319732666,35,0.0,0.012896890466172909,100,Low
3.137330933411916,35,0.0,0.01293103059613456,100,Low
3.2207685470581056,35,0.0,0.013772259900705177,100,Low
3.3045101165771484,40,0.0,0.013533261585178494,100,Low
3.388012707233429,38,0.0,0.013394004425638428,100,Low
3.4716220617294313,31,0.0,0.013209437630814983,100,Low
3.5553057630856832,28,0.0,0.016474395503189992,100,Low
3.6389665961265565,26,0.0,0.01462585861583225,100,Low
3.7224888682365416,28,0.0,0.01371779467020381,100,Low
3.806102176507314,27,0.0,0.014612988283786715,100,Low
3.8899495800336203,24,0.0,0.013286437763788805,100,Low
3.973394723733266,19,0.0,0.01389322936510792,100,Low
4.056986860434214,19,0.0,0.01332825636427314,100,Low
4.140408599376679,17,0.0,0.014966602370739547,100,Low
4.2237807234128315,16,0.0,0.014202153729017094,100,Low
4.307166159152985,11,0.0,0.013633587884334651,100,Low
4.391033113002777,13,0.0,0.022647935869525054,100,Low
4.474670016765595,18,0.0,0.013441415871628577,100,Low
4.5580638964970905,23,0.0,0.013793657667330003,100,Low
4.641834171613057,24,0.0,0.014425401395699785,100,Low
4.725370363394419,17,0.0,0.014863685872300875,100,Low
4.808916445573171,16,0.0,0.014821044787269677,100,Low
4.892670130729675,16,0.0,0.014523994150301568,100,Low
4.976285517215729,17,0.0,0.014438831375767772,100,Low
5.059815017382304,17,0.0,0.01443546271024034,100,Low
5.143676086266836,16,0.0,0.014756183735699912,100,Low
5.2271306872367855,17,0.0,0.01439410487555849,100,Low
5.310691340764364,16,0.0,0.014498698956237184,100,Low
5.394415016969045,14,0.0,0.01394007223505396,100,Low
5.477911444505056,10,0.0,0.011964045810286435,100,Low
5.561608564853668,7,0.0,0.013436431377550283,96.875,Low
5.645248516400655,6,0.0,0.013328345786352834,93.75,Low
5.728783611456553,8,0.0,0.014783471725620702,100,Low
5.8123831987380985,12,0.0,0.011190510649380411,100,Low
5.896143209934235,13,0.0,0.012210992249935602,100,Low
